model,L_um,Vds,Vbs,gm_id,Vgs,Id_W_A_per_m,ft_Hz,gain_V_V
nch_lvt_mac,0.0300,0.400,0.000,20,0.2667,1.203625e+01,8.221818e+10,9.54
nch_lvt_mac,0.0300,0.400,0.000,25,0.1411,6.722349e-01,6.763230e+09,8.95
nch_lvt_mac,0.0300,0.400,-0.200,5,0.5695,2.848670e+02,3.663361e+11,6.32
nch_lvt_mac,0.0300,0.400,-0.200,8,0.4608,1.433896e+02,3.271664e+11,7.78
nch_lvt_mac,0.0300,0.400,-0.200,10,0.4180,9.779276e+01,2.882932e+11,8.42
nch_lvt_mac,0.0300,0.400,-0.200,12,0.3850,6.811354e+01,2.480652e+11,8.92
nch_lvt_mac,0.0300,0.400,-0.200,15,0.3443,3.936739e+01,1.865780e+11,9.46
nch_lvt_mac,0.0300,0.400,-0.200,18,0.3057,2.083776e+01,1.238882e+11,9.76
nch_lvt_mac,0.0300,0.400,-0.200,20,0.2772,1.212567e+01,8.305790e+10,9.80
nch_lvt_mac,0.0300,0.400,-0.200,25,0.1528,6.971301e-01,7.073888e+09,9.11
nch_lvt_mac,0.0300,0.500,0.000,5,0.5513,2.943342e+02,4.005013e+11,7.65
nch_lvt_mac,0.0300,0.500,0.000,8,0.4426,1.482358e+02,3.440648e+11,8.79
nch_lvt_mac,0.0300,0.500,0.000,10,0.3999,1.011145e+02,3.021343e+11,9.31
nch_lvt_mac,0.0300,0.500,0.000,12,0.3669,7.050035e+01,2.595300e+11,9.71
nch_lvt_mac,0.0300,0.500,0.000,15,0.3256,4.043529e+01,1.935396e+11,10.11
nch_lvt_mac,0.0300,0.500,0.000,18,0.2858,2.096521e+01,1.258389e+11,10.27
nch_lvt_mac,0.0300,0.500,0.000,20,0.2560,1.188899e+01,8.225205e+10,10.23
nch_lvt_mac,0.0300,0.500,0.000,25,0.1174,4.888806e-01,5.024305e+09,9.33
nch_lvt_mac,0.0300,0.500,-0.200,5,0.5617,2.940466e+02,4.000222e+11,7.73
nch_lvt_mac,0.0300,0.500,-0.200,8,0.4528,1.479147e+02,3.432633e+11,8.92
nch_lvt_mac,0.0300,0.500,-0.200,10,0.4101,1.010216e+02,3.018205e+11,9.49
nch_lvt_mac,0.0300,0.500,-0.200,12,0.3773,7.046666e+01,2.594984e+11,9.94
nch_lvt_mac,0.0300,0.500,-0.200,15,0.3361,4.049268e+01,1.940136e+11,10.39
nch_lvt_mac,0.0300,0.500,-0.200,18,0.2965,2.106639e+01,1.266926e+11,10.58
nch_lvt_mac,0.0300,0.500,-0.200,20,0.2668,1.197348e+01,8.307872e+10,10.54
nch_lvt_mac,0.0300,0.500,-0.200,25,0.1277,4.865126e-01,5.059457e+09,9.47
nch_lvt_mac,0.0300,0.600,0.000,5,0.5426,2.996246e+02,4.175274e+11,8.64
nch_lvt_mac,0.0300,0.600,0.000,8,0.4344,1.514350e+02,3.554760e+11,9.62
nch_lvt_mac,0.0300,0.600,0.000,10,0.3919,1.035138e+02,3.122996e+11,10.10
nch_lvt_mac,0.0300,0.600,0.000,12,0.3589,7.213938e+01,2.680763e+11,10.46
nch_lvt_mac,0.0300,0.600,0.000,15,0.3172,4.111042e+01,1.985173e+11,10.79
nch_lvt_mac,0.0300,0.600,0.000,18,0.2763,2.092490e+01,1.268203e+11,10.86
nch_lvt_mac,0.0300,0.600,0.000,20,0.2453,1.159774e+01,8.112738e+10,10.75
nch_lvt_mac,0.0300,0.600,0.000,25,0.0892,3.146487e-01,3.299541e+09,9.52
nch_lvt_mac,0.0300,0.600,-0.200,5,0.5531,2.993770e+02,4.168367e+11,8.74
nch_lvt_mac,0.0300,0.600,-0.200,8,0.4449,1.512409e+02,3.549812e+11,9.79
nch_lvt_mac,0.0300,0.600,-0.200,10,0.4025,1.035737e+02,3.124467e+11,10.33
nch_lvt_mac,0.0300,0.600,-0.200,12,0.3697,7.221998e+01,2.685409e+11,10.74
nch_lvt_mac,0.0300,0.600,-0.200,15,0.3280,4.124208e+01,1.994007e+11,11.12
nch_lvt_mac,0.0300,0.600,-0.200,18,0.2873,2.104559e+01,1.278246e+11,11.21
nch_lvt_mac,0.0300,0.600,-0.200,20,0.2562,1.166170e+01,8.183366e+10,11.09
nch_lvt_mac,0.0300,0.600,-0.200,25,0.0968,2.916605e-01,3.106424e+09,9.60
nch_lvt_mac,0.0300,0.700,0.000,5,0.5339,3.032422e+02,4.281163e+11,9.37
nch_lvt_mac,0.0300,0.700,0.000,8,0.4266,1.540960e+02,3.646791e+11,10.28
nch_lvt_mac,0.0300,0.700,0.000,10,0.3842,1.054539e+02,3.206450e+11,10.72
nch_lvt_mac,0.0300,0.700,0.000,12,0.3512,7.345290e+01,2.749403e+11,11.06
nch_lvt_mac,0.0300,0.700,0.000,15,0.3088,4.151712e+01,2.019814e+11,11.33
nch_lvt_mac,0.0300,0.700,0.000,18,0.2667,2.072064e+01,1.266070e+11,11.31
nch_lvt_mac,0.0300,0.700,0.000,20,0.2345,1.121665e+01,7.919134e+10,11.15
nch_lvt_mac,0.0300,0.700,0.000,25,0.0528,1.645179e-01,1.756307e+09,9.52
nch_lvt_mac,0.0300,0.700,-0.200,5,0.5446,3.030435e+02,4.274509e+11,9.50
nch_lvt_mac,0.0300,0.700,-0.200,8,0.4373,1.540846e+02,3.646135e+11,10.49
nch_lvt_mac,0.0300,0.700,-0.200,10,0.3952,1.056506e+02,3.213076e+11,11.00
nch_lvt_mac,0.0300,0.700,-0.200,12,0.3623,7.368050e+01,2.759073e+11,11.38
nch_lvt_mac,0.0300,0.700,-0.200,15,0.3200,4.170672e+01,2.032436e+11,11.71
nch_lvt_mac,0.0300,0.700,-0.200,18,0.2780,2.084440e+01,1.276708e+11,11.71
nch_lvt_mac,0.0300,0.700,-0.200,20,0.2456,1.123867e+01,7.965278e+10,11.52
nch_lvt_mac,0.0300,0.700,-0.200,25,0.0544,1.312866e-01,1.429511e+09,9.51
nch_lvt_mac,0.0300,0.800,0.000,5,0.5254,3.060283e+02,4.358397e+11,9.94
nch_lvt_mac,0.0300,0.800,0.000,8,0.4189,1.562913e+02,3.722719e+11,10.80
nch_lvt_mac,0.0300,0.800,0.000,10,0.3767,1.071546e+02,3.277052e+11,11.23
nch_lvt_mac,0.0300,0.800,0.000,12,0.3435,7.453214e+01,2.805596e+11,11.53
nch_lvt_mac,0.0300,0.800,0.000,15,0.3005,4.172983e+01,2.042702e+11,11.75
nch_lvt_mac,0.0300,0.800,0.000,18,0.2571,2.039243e+01,1.254780e+11,11.66
